run,seed,algorithm,best_f,evaluations,chunk_size,chunk_overlap_ratio,chunk_overlap,retrieval_top_k,similarity_threshold,rerank_top_n,max_context_tokens,temperature
17,58,LLM-GA,16.12803528688869,300,523,0.15030459945787664,79,10,0.4994368698620439,3,2202,0.2
18,59,Random Search,43.11324420942877,300,617,0.18140476692670293,112,8,0.6229532071603396,6,3103,0.2
18,59,GA,16.497269146603927,300,522,0.12085566479578096,63,13,0.49888182033663725,3,2486,0.2
18,59,LLM-GA,21.592130532653975,300,514,0.1792435257600662,92,10,0.5625911528187129,3,2805,0.2
19,60,Random Search,44.33821097651177,300,456,0.18177784331659697,83,13,0.6265710542270464,4,2279,0.2
19,60,GA,21.49097545153699,300,604,0.12223241255871121,74,10,0.4988125134299485,3,3057,0.2
19,60,LLM-GA,20.787068212169146,300,519,0.17980823845777033,93,10,0.49753030895010036,3,1913,0.2
20,61,Random Search,57.262457677833396,300,670,0.06681588678874993,45,15,0.5763323859873978,3,2147,0.2
20,61,GA,21.064562738826147,300,590,0.15182971311048857,90,13,0.43729656852346227,4,2481,0.2
20,61,LLM-GA,20.845072838377966,300,512,0.14822012783273572,76,13,0.49723289096256923,5,2799,0.2
21,62,Random Search,49.76210864758352,300,672,0.1842348741321938,124,12,0.38009619942989703,5,2506,0.2
21,62,GA,18.916896555506014,300,519,0.1526813168183679,79,13,0.49632034451381524,3,2801,0.2
21,62,LLM-GA,21.41435959102281,300,683,0.1205,82,13,0.44675684665778087,4,2810,0.2
22,63,Random Search,45.566012807843556,300,605,0.21632468538419108,131,13,0.6060242569573115,3,1940,0.2
22,63,GA,19.1800489581682,300,520,0.11771517235073262,61,13,0.5012955693575758,3,2518,0.2
22,63,LLM-GA,20.501351898524234,300,599,0.1495169516342255,90,8,0.5575968470782136,4,2788,0.2
23,64,Random Search,52.34086880129544,300,482,0.09180682875743107,44,10,0.4364637130485391,5,2726,0.2
23,64,GA,20.88046372835069,300,521,0.09133975949487916,48,10,0.5552742624789515,4,2502,0.2
23,64,LLM-GA,19.75007119170636,300,599,0.15020398172320984,90,10,0.4426522662724711,4,3070,0.2
24,65,Random Search,44.66643889409408,300,440,0.11239240686387504,49,13,0.48594681370947485,4,2534,0.2
24,65,GA,23.462549099590724,300,675,0.15080528783607422,102,10,0.6178934295137947,3,3087,0.2
24,65,LLM-GA,18.19510081686579,300,604,0.1802107298117197,109,13,0.5575082672121269,3,2525,0.2
25,66,Random Search,51.84694884283584,300,760,0.18562122114268287,141,10,0.5606925551463803,4,2634,0.2
25,66,GA,32.090864032558805,300,679,0.1498629884275196,102,18,0.44183663918103855,3,2229,0.2
25,66,LLM-GA,21.54251689688271,300,522,0.17827100926084288,93,13,0.3831869010891552,5,2481,0.2
26,67,Random Search,50.05461108712595,300,719,0.15625564887201657,112,10,0.5070883794630159,3,2461,0.2
26,67,GA,24.706047290780376,300,593,0.1473172875317807,87,13,0.6174802282442872,5,2821,0.2
26,67,LLM-GA,17.435126982416747,300,672,0.15095290074174575,101,13,0.4998710459716589,3,2801,0.2
27,68,Random Search,54.48977878011909,300,445,0.07153779845085043,32,10,0.5583478873443211,3,2703,0.2
27,68,GA,19.21079460209092,300,444,0.150337812596922,67,10,0.5009421673541996,3,2783,0.2
27,68,LLM-GA,25.026424022147204,300,523,0.15053960405759303,79,8,0.38617338169688964,4,2200,0.2
28,69,Random Search,51.149988034347366,300,387,0.20317661091952124,79,10,0.43259977115947035,3,2540,0.2
28,69,GA,20.539583832459357,300,674,0.11857409913281095,80,13,0.5043493614159903,3,2189,0.2
28,69,LLM-GA,24.934766401567032,300,764,0.14753175437952903,113,13,0.5599549775042352,3,2769,0.2
29,70,Random Search,53.68538570464208,300,523,0.20197209031164973,106,16,0.48917157735020017,4,2540,0.2
29,70,GA,19.750509201282796,300,607,0.12001619135365824,73,10,0.5613151161887476,3,2224,0.2
29,70,LLM-GA,25.866889119290665,300,525,0.21,110,10,0.56,5,2210,0.2
30,71,Random Search,55.29043645247487,300,510,0.07963413564024431,41,15,0.39056525273889364,3,2789,0.2
30,71,GA,29.938517250522132,300,607,0.17324187750889802,105,8,0.44383009191480255,4,2481,0.2
30,71,LLM-GA,24.40444132012093,300,519,0.2047749044165945,106,10,0.442068247876671,3,2222,0.2
